iter	Passed	Remaining
968	6865	219
969	6872	212
970	6880	205
971	6887	198
972	6894	191
973	6902	184
974	6909	177
975	6917	170
976	6925	163
977	6932	155
978	6940	148
979	6947	141
980	6955	134
981	6962	127
982	6969	120
983	6976	113
984	6984	106
985	6991	99
986	6999	92
987	7008	85
988	7015	78
989	7023	70
990	7031	63
991	7038	56
992	7046	49
993	7054	42
994	7062	35
995	7070	28
996	7078	21
997	7085	14
998	7093	7
999	7101	0
